_id,name,cuisines,address,priceRange,timeOpen,average_score,classification,latitude,longitude
67812ec1514dba6089ed9109,Lẩu Bò Đồng Mỏ - Đường Láng,empty,"1 Ngõ 942 Đường Láng, P. Láng Thượng, Quận Đống Đa, Hà Nội",Đang cập nhật,09:00 - 20:30,10.0,Positive,21.022068875800127,105.80112948045303
67812ec1514dba6089ed9319,Tư Thanh - Bún Sườn Bò,Món Việt,"391 Huỳnh Văn Lũy, P. Phú Mỹ, Thành Phố Thủ Dầu Một, Bình Dương",18.000đ - 35.000đ,06:00 - 11:00,10.0,Positive,11.007415744425506,106.67632543488128
67812ec1514dba6089ed92e8,Trà Sữa Hoa Ly - Hoàng Hoa Thám,Món Việt,"29 Hoàng Hoa Thám, Tp. Vũng Tàu, Vũng Tàu",10.000đ - 20.000đ,08:00 - 22:00,10.0,Positive,10.338998704176655,107.0847514140628
67812ec1514dba6089ed92f3,Win Ăn Vặt - Bánh Tráng Trộn Long An & Cơm Cháy Chà Bông Mỡ Hành - 80 Bà Triệu,"Món Bắc, Món Miền Trung, Món Miền Nam, Tây Nguyên","80 Bà Triệu, P. 1, Tp. Vũng Tàu, Vũng Tàu",Đang cập nhật,09:00 - 22:00,10.0,Positive,10.35284713665611,107.07645145663528
67812ec1514dba6089ed92f4,Kim Yến Hoàng Gia - Yến Sào Thiên Nhiên & Yến Tươi Chưng Sẵn,Món Miền Nam,"442/9A Bình Giã, P. Nguyễn An Ninh, Tp. Vũng Tàu, Vũng Tàu",Đang cập nhật,09:00 - 22:00,10.0,Positive,,
67812ec1514dba6089ed9130,Cháo Thắng - Phùng Hưng,Món Việt,"71 Phùng Hưng, Quận Hoàn Kiếm, Hà Nội",25.000đ - 35.000đ,07:00 - 22:00,10.0,Positive,21.029536297190493,105.84459676353755
67812ec1514dba6089ed930c,Cháo Dinh Dưỡng Vina Soup - Cháo Dinh Dưỡng - Hoàng Hoa Thám,Món Việt,"48/87 Hoàng Hoa Thám, P. Hiệp Thành, Thành Phố Thủ Dầu Một, Bình Dương",Đang cập nhật,06:00 - 20:00,10.0,Positive,10.990097358781812,106.66522397920315
67812ec1514dba6089ed930e,MT. Food - Gà Ủ Muối Hoa Tiêu - Shop Online,empty,"1023/6/14 Lê Hồng Phong, KP. 4, P. Phú Thọ, Thành Phố Thủ Dầu Một, Bình Dương",100.000đ - 300.000đ,00:01 - 23:59,10.0,Positive,,
67812ec1514dba6089ed9334,Cháo Trắng Cháo Đậu Cần Thơ (A XO) - Cháo Ếch Kho Quẹt - Đường 30 tháng 4,Món Miền Nam,"12A 30 Tháng 4, P. An Phú, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,Cả ngày,10.0,Positive,,
67812ec1514dba6089ed917a,Sườn Kingdom - Khu Đô Thị Văn Quán,empty,"Số 22, TT2B Khu Đô Thị Văn Quán, Quận Hà Đông, Hà Nội",100.000đ - 500.000đ,09:30 - 13:30 | 16:30 - 20:30,10.0,Positive,,
67812ec1514dba6089ed9132,Chill - Tiệm Trà Chanh - Tàm Xá,Tây Bắc,"16 Thôn Đông, Huyện Đông Anh, Hà Nội",15.000đ - 50.000đ,empty,10.0,Positive,21.14607287619474,105.81492136505695
67812ec1514dba6089ed91f3,Cháo Lòng Hà Lô - Cháo Lòng - Lạc Long Quân,"Món Bắc, Món Miền Trung, Món Miền Nam, Tây Nguyên","37 Ngõ 445 Lạc Long Quân, P. Xuân La, Quận Tây Hồ, Hà Nội",Đang cập nhật,06:00 - 13:00,10.0,Positive,21.05788408966761,105.80694159058086
67812ec1514dba6089ed9204,Phở Cồ - Phở Xào & Cơm Rang,Món Việt,"65 Tân Ấp, P. Phúc Xá, Quận Ba Đình, Hà Nội",25.000đ - 70.000đ,06:00 - 15:00 | 17:30 - 21:00,10.0,Positive,21.046853849926134,105.84634608060006
67812ec1514dba6089ed9372,Quán Cơm Sinh Viên - Trần Văn Đang,Món Việt,"47G Trần Văn Đang, P. 9, Quận 3, TP. HCM",6.000đ - 22.000đ,10:00 - 14:00,10.0,Positive,10.783560517127093,106.67469585918936
67812ec1514dba6089ed9373,Tiệm Xí Meo - Sandwich Và Burger,"Món Âu, Món Hàn","951 Hoàng Sa, Quận 3, TP. HCM",Đang cập nhật,06:00 - 15:00,10.0,Positive,10.784604633633721,106.67699877933565
67812ec1514dba6089ed9375,Bún Quậy Tâm Quán - Hậu Giang,Món Miền Nam,"162B Hậu Giang, P. 6, Quận 6, TP. HCM",35.000đ - 55.000đ,07:00 - 13:30 | 15:30 - 22:00,10.0,Positive,10.747209048558796,106.63165289034124
67812ec1514dba6089ed92e7,"Quạo - Mì, Cơm Trộn Trứng Chảy, Bún Trộn, Ăn Vặt, Giải Khát",Món Việt,"21-C6 Trần Bình Trọng, P. Nguyễn An Ninh, Tp. Vũng Tàu, Vũng Tàu",Đang cập nhật,09:00 - 21:00,10.0,Positive,10.359061649889249,107.09662822292469
67812ec1514dba6089ed9183,Chè Ngon Nhà Làm & Đồ Ăn Vặt,empty,"34B Phố Cầu Am (Làng Vạn Phúc), P. Vạn Phúc, Quận Hà Đông, Hà Nội",15.000đ - 30.000đ,10:00 - 19:00,10.0,Positive,,
67812ec1514dba6089ed91fa,Chicken & Friez,Món Á,"34 TT4 KĐT Mỹ Đình Sông Đà, P. Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",100.000đ - 330.000đ,09:00 - 23:00,10.0,Positive,,
67812ec1514dba6089ed92cd,Thuỷ Juice Healthy - Nước Ép Nguyên Chất & Sinh Tố - Trần Đại Nghĩa,empty,"130 Trần Đại Nghĩa, P. Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",Đang cập nhật,10:00 - 23:59,10.0,Positive,21.003540093871848,105.84477841161964
67812ec1514dba6089ed91fd,Jun's Kitchen - Cơm Hàn Quốc & Đồ Ăn Hàn Quốc - Trung Hòa,empty,"Số 17 Ngõ 20 Nguyễn Chánh, P. Trung Hòa, Quận Cầu Giấy, Hà Nội",30.000đ - 70.000đ,11:00 - 14:00 | 17:00 - 19:30,10.0,Positive,21.00923434808029,105.7957413461354
67812ec1514dba6089ed92c4,MÌ CAY 25K - CHÂN GÀ SỐT THÁI - 200 LÊ THANH NGHỊ,empty,"200 Lê Thanh Nghị, P. Bách Khoa, Quận Hai Bà Trưng, Hà Nội",20.000đ - 50.000đ,00:01 - 23:59,10.0,Positive,21.001315400000003,105.84715514999999
67812ec1514dba6089ed9186,Ship Đồ Ăn Nhanh 24H - Shop Online,Món Việt,"16A Thụy Khuê, P. Thuỵ Khuê, Quận Tây Hồ, Hà Nội",15.000đ - 60.000đ,00:01 - 23:59,10.0,Positive,21.040972069446617,105.82629986744806
67812ec1514dba6089ed927f,Bánh Tráng Huy Quân - Trần Huy Liệu,Món Việt,"101 C5 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội",10.000đ - 25.000đ,11:00 - 21:00,10.0,Positive,,
67812ec1514dba6089ed9279,"Woa Tea - Trà Sữa, Ăn Vặt & Mỳ Trộn - 72 Nguyễn Trãi",Món Miền Nam,"64/2 Nghách 1 Ngõ 72 Nguyễn Trãi, P. Nhân Chính, Quận Thanh Xuân, Hà Nội",Đang cập nhật,16:00 - 23:00,10.0,Positive,,
67812ec1514dba6089ed9276,Bún Chả Nam Hà - Linh Đàm,Món Bắc,"HH1B Linh Đàm, P. Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đang cập nhật,06:00 - 15:00,10.0,Positive,20.96450085,105.82614109646705
67812ec1514dba6089ed9272,Bún Bò Huế Nam Minh - Vĩnh Hưng,empty,"Số 7 Ngõ 431 Vĩnh Hưng, Quận Hai Bà Trưng, Hà Nội",30.000đ - 50.000đ,06:10 - 16:45 | 17:00 - 20:45,10.0,Positive,,
67812ec1514dba6089ed9271,Cơm Tấm Sườn Cây & Cơm Gà Ta - Hai Phúc - 26 Hàng Chuối,empty,"26 Hàng Chuối, P. Phạm Đình Hồ, Quận Hai Bà Trưng, Hà Nội",30.000đ - 50.000đ,10:30 - 14:30,10.0,Positive,21.017605591414583,105.85705505800696
