_id,name,cuisines,address,priceRange,timeOpen,average_score,classification,latitude,longitude,image
67b8aaec1b0ceed0e5ffede3,Lẩu Bò Đồng Mỏ - Đường Láng,empty,"1 Ngõ 942 Đường Láng, P. Láng Thượng, Quận Đống Đa, Hà Nội",Đang cập nhật,09:00 - 20:30,10.0,Positive,21.022068875800127,105.80112948045303,https://down-vn.img.susercontent.com/vn-11134513-7r98o-m09whrx2nf1p84@resize_ss576x330
67b8aaed1b0ceed0e5ffeff3,Tư Thanh - Bún Sườn Bò,Món Việt,"391 Huỳnh Văn Lũy, P. Phú Mỹ, Thành Phố Thủ Dầu Một, Bình Dương",18.000đ - 35.000đ,06:00 - 11:00,10.0,Positive,11.007415744425506,106.67632543488128,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9qol1hodzv61@resize_ss576x330
67b8aaed1b0ceed0e5ffefc2,Trà Sữa Hoa Ly - Hoàng Hoa Thám,Món Việt,"29 Hoàng Hoa Thám, Tp. Vũng Tàu, Vũng Tàu",10.000đ - 20.000đ,08:00 - 22:00,10.0,Positive,10.338998704176655,107.0847514140628,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwaanmp35lg9cb@resize_ss576x330
67b8aaed1b0ceed0e5ffefcd,Win Ăn Vặt - Bánh Tráng Trộn Long An & Cơm Cháy Chà Bông Mỡ Hành - 80 Bà Triệu,"Món Bắc, Món Miền Trung, Món Miền Nam, Tây Nguyên","80 Bà Triệu, P. 1, Tp. Vũng Tàu, Vũng Tàu",Đang cập nhật,09:00 - 22:00,10.0,Positive,10.35284713665611,107.07645145663528,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwamgfshkaft63@resize_ss576x330
67b8aaed1b0ceed0e5ffefce,Kim Yến Hoàng Gia - Yến Sào Thiên Nhiên & Yến Tươi Chưng Sẵn,Món Miền Nam,"442/9A Bình Giã, P. Nguyễn An Ninh, Tp. Vũng Tàu, Vũng Tàu",Đang cập nhật,09:00 - 22:00,10.0,Positive,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgpxqqxvx0bdb@resize_ss576x330
67b8aaed1b0ceed0e5ffee0a,Cháo Thắng - Phùng Hưng,Món Việt,"71 Phùng Hưng, Quận Hoàn Kiếm, Hà Nội",25.000đ - 35.000đ,07:00 - 22:00,10.0,Positive,21.029536297190493,105.84459676353755,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsuanfxvezyx70@resize_ss576x330
67b8aaed1b0ceed0e5ffefe6,Cháo Dinh Dưỡng Vina Soup - Cháo Dinh Dưỡng - Hoàng Hoa Thám,Món Việt,"48/87 Hoàng Hoa Thám, P. Hiệp Thành, Thành Phố Thủ Dầu Một, Bình Dương",Đang cập nhật,06:00 - 20:00,10.0,Positive,10.990097358781812,106.66522397920315,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwehekrax90ba8@resize_ss576x330
67b8aaed1b0ceed0e5ffefe8,MT. Food - Gà Ủ Muối Hoa Tiêu - Shop Online,empty,"1023/6/14 Lê Hồng Phong, KP. 4, P. Phú Thọ, Thành Phố Thủ Dầu Một, Bình Dương",100.000đ - 300.000đ,00:01 - 23:59,10.0,Positive,,,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsva31ym3m3da1@resize_ss576x330
67b8aaed1b0ceed0e5fff00e,Cháo Trắng Cháo Đậu Cần Thơ (A XO) - Cháo Ếch Kho Quẹt - Đường 30 tháng 4,Món Miền Nam,"12A 30 Tháng 4, P. An Phú, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,Cả ngày,10.0,Positive,,,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvgd82b4af864@resize_ss576x330
67b8aaed1b0ceed0e5ffee54,Sườn Kingdom - Khu Đô Thị Văn Quán,empty,"Số 22, TT2B Khu Đô Thị Văn Quán, Quận Hà Đông, Hà Nội",100.000đ - 500.000đ,09:30 - 13:30 | 16:30 - 20:30,10.0,Positive,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwe2czj2k7vd8c@resize_ss576x330
67b8aaed1b0ceed0e5ffee0c,Chill - Tiệm Trà Chanh - Tàm Xá,Tây Bắc,"16 Thôn Đông, Huyện Đông Anh, Hà Nội",15.000đ - 50.000đ,empty,10.0,Positive,21.14607287619474,105.81492136505695,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8ksj5ad3vd74@resize_ss576x330
